decimalLongitude,decimalLatitude,eventDate,basisOfRecord
-90.375983,38.623817,2023-08-29,PRESERVED_SPECIMEN
-90.898206,38.431925,2022-09-16,PRESERVED_SPECIMEN
-90.898206,38.431925,2022-09-16,PRESERVED_SPECIMEN
-90.636111,38.5325,2021-08-21,PRESERVED_SPECIMEN
-90.635833,38.532408,2020-09-01,PRESERVED_SPECIMEN
-90.816389,38.460278,2020-09-24,PRESERVED_SPECIMEN
-91.10134,38.47391,2019-08-06,PRESERVED_SPECIMEN
-88.36702,42.288365,2015-08-12,PRESERVED_SPECIMEN
-88.36702,42.288365,2015-08-12,PRESERVED_SPECIMEN
-90.816111,38.460278,2014-09-16,PRESERVED_SPECIMEN
-90.51425,37.988861,2013-08-01,PRESERVED_SPECIMEN
-90.51425,37.988861,2013-08-01,PRESERVED_SPECIMEN
-91.496389,40.043889,2013-08-27,PRESERVED_SPECIMEN
-91.496389,40.043889,2013-08-27,PRESERVED_SPECIMEN
-88.365784,42.289403,2011-09-30,PRESERVED_SPECIMEN
-88.365784,42.289403,2011-09-30,PRESERVED_SPECIMEN
-89.6685,37.749639,2011-09-03,PRESERVED_SPECIMEN
-89.893247,37.923406,2011-09-11,PRESERVED_SPECIMEN
-89.893247,37.923406,2011-09-11,PRESERVED_SPECIMEN
-89.893247,37.923406,2011-09-11,PRESERVED_SPECIMEN
-89.683083,37.752531,2011-09-11,PRESERVED_SPECIMEN
-89.729439,37.793517,2011-09-20,PRESERVED_SPECIMEN
-89.739444,37.839722,2011-09-20,PRESERVED_SPECIMEN
-89.739444,37.839722,2011-09-20,PRESERVED_SPECIMEN
-91.435,38.7314,2011-10-29,PRESERVED_SPECIMEN
-91.435,38.7314,2011-10-29,PRESERVED_SPECIMEN
-90.1761,38.8111,2009-07-17,PRESERVED_SPECIMEN
-89.1265,40.65987,2009-08-13,PRESERVED_SPECIMEN
-91.3558,39.7128,2009-08-31,PRESERVED_SPECIMEN
-91.3558,39.7128,2009-08-31,PRESERVED_SPECIMEN
-90.8194,38.5844,2009-08-13,PRESERVED_SPECIMEN
-90.7069,38.6656,2009-08-13,PRESERVED_SPECIMEN
-90.292082,38.640104,2009-08-04,PRESERVED_SPECIMEN
-90.7069,38.6656,2009-08-13,PRESERVED_SPECIMEN
-90.6658,38.6681,2009-08-06,PRESERVED_SPECIMEN
-90.5772,38.6944,2009-08-06,PRESERVED_SPECIMEN
-90.5772,38.6944,2009-08-06,PRESERVED_SPECIMEN
-90.2339,38.8661,2009-08-17,PRESERVED_SPECIMEN
-90.4172,38.5664,2009-08-06,PRESERVED_SPECIMEN
-90.302139,38.606222,2009-09-12,PRESERVED_SPECIMEN
-90.4689,38.7817,2009-10-07,PRESERVED_SPECIMEN
-90.4361,38.7972,2009-10-07,PRESERVED_SPECIMEN
-91.183333,40.633333,2009-10-13,PRESERVED_SPECIMEN
-91.019557,36.975424,2007-08-27,PRESERVED_SPECIMEN
-91.019557,36.975424,2007-08-27,PRESERVED_SPECIMEN
-90.4475,38.5589,2007-09-25,PRESERVED_SPECIMEN
-90.7369,38.6564,2007-10-20,PRESERVED_SPECIMEN
-90.7369,38.6564,2007-10-20,PRESERVED_SPECIMEN
-88.0573,41.8166,2006-08-09,PRESERVED_SPECIMEN
-88.0533,41.8156,2006-08-09,PRESERVED_SPECIMEN
-90.02909,37.97719,2006-10-14,PRESERVED_SPECIMEN
-88.8576,38.748,2006-10-20,PRESERVED_SPECIMEN
-90.7125,38.496389,2006-10-03,PRESERVED_SPECIMEN
-90.7125,38.496389,2006-10-03,PRESERVED_SPECIMEN
-88.3083474,41.457876,2005-08-03,PRESERVED_SPECIMEN
-88.5061,41.6361,2005-08-26,PRESERVED_SPECIMEN
-88.3083,41.4578,2005-08-03,PRESERVED_SPECIMEN
-88.1523,38.9209,2005-09-09,PRESERVED_SPECIMEN
-88.1523,38.9209,2005-09-09,PRESERVED_SPECIMEN
-88.17496,38.907635,2005-09-23,PRESERVED_SPECIMEN
-88.17496,38.907635,2005-09-23,PRESERVED_SPECIMEN
-89.640555,38.779167,2005-10-02,PRESERVED_SPECIMEN
-88.14166,39.46666,2004-10-07,PRESERVED_SPECIMEN
-88.5,41.633333,2003-08-26,PRESERVED_SPECIMEN
-90.825,38.435278,2003-09-12,PRESERVED_SPECIMEN
-91.15,38.0825,2003-09-28,PRESERVED_SPECIMEN
-90.750556,38.650556,2003-10-18,PRESERVED_SPECIMEN
-90.752222,38.649722,2003-10-18,PRESERVED_SPECIMEN
-90.7375,38.6525,2003-10-18,PRESERVED_SPECIMEN
-88.312373,39.496024,2002-09-26,PRESERVED_SPECIMEN
-90.263889,38.619445,2002-10-09,PRESERVED_SPECIMEN
-90.263889,38.619445,2002-10-09,PRESERVED_SPECIMEN
-90.51388,37.98944,2001-09-10,PRESERVED_SPECIMEN
-89.466667,37.25,2001-09-26,PRESERVED_SPECIMEN
-89.466667,37.25,2001-09-26,PRESERVED_SPECIMEN
