lu_class,proportions
Barren Land,0.4850151867981214
Cultivated Crops,22.610664205915306
Deciduous Forest,17.17438069323178
"Developed, High Intensity",2.7552777247069113
"Developed, Low Intensity",5.800443481474308
"Developed, Medium Intensity",5.070750768879342
"Developed, Open Space",6.347548001349257
Emergent Herbaceous Wetlands,1.229354531119339
Evergreen Forest,0.3126649505530763
Grassland/Herbaceous,0.3750943982213251
Mixed Forest,1.316239262046112
Pasture/Hay,6.522418009013762
Shrub/Scrub,0.03656030181105102
Water,7.8811524368202175
Woody Wetlands,6.082436048060089
